iteration,loc_LB,loc_UB,glob_LB,glob_UB,repeated_services,missed_services 
70,20679.095999999998,26540.091999999993,20849.708,24330.124,2;11;17;24;25;27;28;38;58;79;80;84;95;,5;9;14;22;29;44;61;66;72;76;89;94;96;98;
71,20139.948,27136.548,20849.708,24330.124,5;6;9;14;22;34;44;60;66;71;78;88;92;94;,2;17;25;26;38;39;53;54;57;79;80;84;
72,19946.192000000003,25644.788,20849.708,24330.124,6;16;17;32;38;54;57;61;79;84;98;,2;20;21;30;44;49;52;56;66;67;70;81;85;92;97;
73,19619.068,26296.487999999998,20849.708,24330.124,21;30;36;44;49;66;70;81;85;96;97;,6;9;15;16;18;32;34;35;53;60;80;89;95;
74,20198.52,25800.339999999997,20849.708,24330.124,3;9;10;11;13;18;24;32;35;45;48;60;62;97;,43;44;51;66;96;
75,19807.167999999998,26413.228000000003,20849.708,24330.124,16;25;26;37;44;52;53;66;72;76;91;,6;10;11;18;29;60;
76,20221.288,24735.507999999998,20849.708,24330.124,6;43;49;56;60;83;,3;13;16;25;44;45;48;53;66;70;82;
77,20371.552,24836.28,20849.708,24330.124,3;8;13;20;48;60;,10;46;49;56;75;83;90;
78,20207.584,24338.552,20849.708,24330.124,7;25;32;45;46;82;83;90;,14;37;43;76;91;94;
79,20126.272,25417.239999999998,20849.708,24330.124,1;29;43;49;64;72;75;92;95;,3;13;18;21;32;33;47;48;89;
80,19360.363999999998,26819.783999999992,20849.708,24330.124,18;21;32;47;48;67;70;76;89;,1;7;20;25;45;49;55;56;64;82;83;92;94;
81,19532.608,25067.904,20849.708,24330.124,3;16;25;55;64;92;94;,26;32;33;47;75;76;89;96;
82,19597.884,23218.147999999997,20849.708,23218.147999999997,32;39;50;,10;25;91;
83,19318.023999999998,24625.803999999996,20849.708,23218.147999999997,20;23;25;26;91;,50;64;82;92;94;98;
84,19971.528,22639.523999999998,20849.708,22639.523999999998,32;98;,23;29;91;
85,19961.384,25326.368000000002,20849.708,22639.523999999998,10;14;23;37;59;64;85;91;,2;36;41;61;72;93;98;
86,19425.275999999998,24607.095999999998,20849.708,22639.523999999998,31;41;61;89;93;94;98;,10;20;23;33;59;65;91;97;
87,19702.688,25822.287999999997,20849.708,22639.523999999998,10;20;23;40;50;56;65;91;97;,25;31;32;37;64;94;
88,19927.843999999997,24235.019999999997,20849.708,22639.523999999998,25;33;37;64;72;76;96;,23;50;56;91;
89,19619.472,24483.095999999998,20849.708,22639.523999999998,18;23;59;91;,9;22;61;72;76;98;
90,19109.440000000002,24653.631999999998,20849.708,22639.523999999998,9;15;22;34;61;80;94;,20;23;25;33;65;72;91;
91,18343.82,26478.575999999994,20849.708,22639.523999999998,1;20;25;32;33;52;53;56;65;72;74;86;,24;80;92;95;
92,19944.248,25272.747999999996,20849.708,22639.523999999998,23;24;91;92;95;,7;18;32;52;53;74;79;86;96;
93,19614.772,24902.324,20849.708,22639.523999999998,7;18;22;38;53;72;75;79;84;,23;34;91;92;
94,19946.792,24780.636,20849.708,22639.523999999998,19;23;51;63;82;91;99;,9;22;32;43;53;89;
95,19722.212,24118.127999999997,20849.708,22639.523999999998,5;21;43;56;89;,23;60;91;
96,19277.116,26210.992,20849.708,22639.523999999998,9;18;32;47;60;91;92;,25;37;46;63;64;72;82;90;97;99;
97,18640.984,25622.939999999995,20849.708,22639.523999999998,37;46;64;72;76;89;90;96;97;98;,18;19;43;47;56;71;78;88;
98,18526.396,25069.744000000002,20849.708,22639.523999999998,19;25;43;47;71;78;82;88;,20;21;26;39;58;85;89;97;
99,18317.5,25130.872000000003,20849.708,22639.523999999998,20;23;26;53;56;58;85;,19;51;59;66;82;99;
100,18111.968,24151.68,20849.708,22639.523999999998,10;63;82;97;99;,23;25;56;61;91;98;
101,18445.856,24143.268,20849.708,22639.523999999998,23;25;31;83;91;,10;82;97;
102,18673.768,24755.448,20849.708,22639.523999999998,30;32;81;82;,16;20;26;31;49;75;76;83;96;
103,16021.612000000001,25294.643999999997,20849.708,22639.523999999998,16;26;31;49;96;98;,32;37;38;64;65;79;84;95;
104,19184.34,25169.856,20849.708,22639.523999999998,32;37;61;64;79;95;,5;22;30;46;81;82;85;90;
105,18179.128,24240.671999999995,20849.708,22639.523999999998,5;19;22;46;51;82;90;,23;61;72;91;
106,18665.236,25070.388,20849.708,22639.523999999998,23;35;42;56;59;65;89;91;,19;51;
107,18562.696,23749.007999999998,20849.708,22639.523999999998,16;33;51;61;,23;56;91;
108,18635.796000000002,24618.016,20849.708,22639.523999999998,2;20;23;50;91;,31;35;42;51;53;73;
109,17497.208,24453.752,20849.708,22639.523999999998,29;53;73;97;,25;49;50;65;
110,17366.016,25259.415999999997,20849.708,22639.523999999998,25;31;36;42;49;65;73;83;85;,16;20;26;46;59;90;
111,17023.208,26693.544,20849.708,22639.523999999998,10;20;26;39;46;50;72;75;76;90;,31;32;61;73;83;85;89;97;98;
112,19502.248,25337.232,20849.708,22639.523999999998,59;61;73;85;97;98;,6;18;20;26;50;60;65;
113,17494.524,26440.624,20849.708,22639.523999999998,6;7;20;26;50;60;65;89;,25;35;42;46;59;72;75;76;96;98;
114,17028.608,24451.471999999998,20849.708,22639.523999999998,25;35;72;75;96;,7;10;20;39;60;
115,18845.86,23523.852,20849.708,22639.523999999998,49;76;,6;89;
116,16884.708000000002,22813.967999999997,20849.708,22639.523999999998,46;,82;
117,15971.676,22515.736,20849.708,22515.736,,
